"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 14 16:56:41 GMT 2023","Mon Aug 14 16:56:46 GMT 2023","5687","tests","test_podcaster_cabinet","","","","test_podcaster_cabinet",""
"passed","Mon Aug 14 16:54:16 GMT 2023","Mon Aug 14 16:54:32 GMT 2023","16494","tests","test_creating_episode","","","","test_creating_episode",""
"passed","Mon Aug 14 16:51:53 GMT 2023","Mon Aug 14 16:52:01 GMT 2023","8151","tests","test_authorization","","","","test_for_authorization",""
"passed","Mon Aug 14 16:53:15 GMT 2023","Mon Aug 14 16:53:37 GMT 2023","21397","tests","test_creating_delay_episode","","","","test_creating_delay_episode",""
"passed","Mon Aug 14 16:56:05 GMT 2023","Mon Aug 14 16:56:30 GMT 2023","25493","tests","test_deleting_podcast","","","","test_deleting_podcast",""
"passed","Mon Aug 14 16:55:33 GMT 2023","Mon Aug 14 16:55:55 GMT 2023","22174","tests","test_deleting_author","","","","test_deleting_author",""
"passed","Mon Aug 14 16:52:17 GMT 2023","Mon Aug 14 16:52:25 GMT 2023","7840","tests","test_creating_author","","","","test_creating_author",""
"passed","Mon Aug 14 16:54:57 GMT 2023","Mon Aug 14 16:55:11 GMT 2023","13577","tests","test_creating_podcast","","","","test_creating_podcast",""
