"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 09 14:32:00 GMT 2023","Wed Aug 09 14:32:12 GMT 2023","11591","tests","test_creating_author","","","","test_creating_author",""
"broken","Wed Aug 09 14:33:02 GMT 2023","Wed Aug 09 14:33:30 GMT 2023","27669","tests","test_creating_delay_episode","","","","test_creating_delay_episode",""
"failed","Wed Aug 09 14:33:56 GMT 2023","Wed Aug 09 14:34:12 GMT 2023","15951","tests","test_creating_podcast","","","","test_creating_podcast",""
"passed","Wed Aug 09 14:35:24 GMT 2023","Wed Aug 09 14:35:25 GMT 2023","950","tests","test_podcaster_cabinet","","","","test_podcaster_cabinet",""
"passed","Wed Aug 09 14:31:40 GMT 2023","Wed Aug 09 14:31:49 GMT 2023","8566","tests","test_authorization","","","","test_for_authorization",""
"passed","Wed Aug 09 14:34:40 GMT 2023","Wed Aug 09 14:35:02 GMT 2023","22562","tests","test_deleting_author","","","","test_deleting_author",""
